CITY_ID,NAME,OFFICIAL_NAME,POPULATION,IS_CAPITAL,LATITUDE,LONGITUDE,TIMEZONE,COUNTRY_ID
AND0001,Andorra la Vella,,23000,Y,42.50779,1.52109,,AND
ARE0001,Abu Dhabi,,1420000,Y,24.45118,54.39696,,ARE
AFG0001,Kabul,,4012000,Y,34.52813,69.17233,,AFG
ATG0001,Saint John's,Saint John’s,21000,Y,17.12096,-61.84329,,ATG
ALB0001,Tirana,,476000,Y,41.3275,19.81889,,ALB
ARM0001,Yerevan,,1080000,Y,40.18111,44.51361,,ARM
AGO0001,Luanda,,7774000,Y,-8.83682,13.23432,,AGO
ARG0001,Buenos Aires,,14967000,Y,-34.61315,-58.37723,,ARG
AUT0001,Vienna,,1901000,Y,48.20849,16.37208,,AUT
AUS0001,Canberra,,423000,Y,-35.28346,149.12807,,AUS
AZE0001,Baku,,2286000,Y,40.37767,49.89201,,AZE
BIH0001,Sarajevo,,343000,Y,43.84864,18.35644,,BIH
BRB0001,Bridgetown,,89000,Y,13.10732,-59.62021,,BRB
BGD0001,Dhaka,,19578000,Y,23.7104,90.40744,,BGD
BEL0001,Brussels,,2050000,Y,50.85045,4.34878,,BEL
BFA0001,Ouagadougou,,2531000,Y,12.36566,-1.53388,,BFA
BGR0001,Sofia,,1272000,Y,42.69751,23.32415,,BGR
BHR0001,Manama,,565000,Y,26.22787,50.58565,,BHR
BDI0001,Bujumbura,,899000,Y,-3.39249,29.36169,,BDI
BEN0001,Porto Novo,Porto-Novo,285000,Y,6.49646,2.60359,,BEN
BRN0001,Bandar Seri Begawan,,241000,Y,4.89035,114.94006,,BRN
BOL0001,Sucre,,278000,Y,-19.03332,-65.26274,,BOL
BRA0001,Brasilia,,4470000,Y,-15.77972,-47.92972,,BRA
BHS0001,Nassau,,280000,Y,25.05823,-77.34306,,BHS
BTN0001,Thimphu,,203000,Y,27.46609,89.64191,,BTN
BWA0001,Gaborone,,269000,Y,-24.65451,25.90859,,BWA
BLR0001,Minsk,,2005000,Y,53.9,27.56667,,BLR
BLZ0001,Belmopan,,23000,Y,17.25,-88.76667,,BLZ
CAN0001,Ottawa,,1363000,Y,45.41117,-75.69812,,CAN
COD0001,Kinshasa,,13171000,Y,-4.32758,15.31357,,COD
CAF0001,Bangui,,851000,Y,4.36122,18.55496,,CAF
COG0001,Brazzaville,,2230000,Y,-4.26613,15.28318,,COG
CHE0001,Bern,,422000,Y,46.94809,7.44744,,CHE
CIV0001,Yamoussoukro,,231000,Y,6.82055,-5.27674,,CIV
CHL0001,Santiago,,6680000,Y,-33.45694,-70.64827,,CHL
CMR0001,Yaounde,Yaoundé,1952000,Y,3.86667,11.51667,,CMR
CHN0001,Beijing,,19618000,Y,39.9075,116.39723,,CHN
COL0001,Bogota,,10574000,Y,4.60971,-74.08175,,COL
CRI0001,San Jose,San José,1358000,Y,9.93333,-84.08333,,CRI
CUB0001,Havana,,2136000,Y,23.13302,-82.38304,,CUB
CPV0001,Praia,,168000,Y,14.93152,-23.51254,,CPV
CYP0001,Nicosia,,269000,Y,35.17531,33.3642,,CYP
CZE0001,Prague,,1292000,Y,50.08804,14.42076,,CZE
DEU0001,Berlin,,3563000,Y,52.52437,13.41053,,DEU
DJI0001,Djibouti,,562000,Y,11.58901,43.14503,,DJI
DNK0001,Copenhagen,,1321000,Y,55.67594,12.56553,,DNK
DMA0001,Roseau,,15000,Y,15.30174,-61.38808,,DMA
DOM0001,Santo Domingo,,3172000,Y,18.47186,-69.89232,,DOM
DZA0001,Algiers,,2694000,Y,36.73225,3.08746,,DZA
ECU0001,Quito,,1822000,Y,-0.22985,-78.52495,,ECU
EST0001,Tallinn,,437000,Y,59.43696,24.75353,,EST
EGY0001,Cario,,20076000,Y,30.04442,31.23571,,EGY
ERI0001,Asmara,,896000,Y,15.33805,38.93184,,ERI
ESP0001,Madrid,,6497000,Y,40.4165,-3.70256,,ESP
ETH0001,Addis Ababa,,4400000,Y,9.02497,38.74689,,ETH
