CONTACT_ID,CONTACT,CONTACT_TYPE_ID,PARK_ID
1,+12703583137,2,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
2,+12703583874,3,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
3,ABLI_Administration@nps.gov,1,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
4,+12072883338,2,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
5,+12072888813,3,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
6,+12072888800,4,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
7,acadia_information@nps.gov,1,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
8,+16177731177,2,E4C7784E-66A0-4D44-87D0-3E072F5FEF43
9,ADAM_Visitor_Center@nps.gov,1,E4C7784E-66A0-4D44-87D0-3E072F5FEF43
10,+12024266841,2,1A47416F-DAA3-4137-9F30-14AF86B4E547
11,national_mall@nps.gov,1,1A47416F-DAA3-4137-9F30-14AF86B4E547
12,+12122384367,2,E6E1D22A-7A89-47F8-813C-B611059A8CF9
13,african_burial_ground@nps.gov,1,E6E1D22A-7A89-47F8-813C-B611059A8CF9
14,+13086654113,2,64B9F127-31ED-43C9-882D-D7CD471AF314
15,+13086654114,3,64B9F127-31ED-43C9-882D-D7CD471AF314
16,agfo_ranger_activities@nps.gov,1,64B9F127-31ED-43C9-882D-D7CD471AF314
17,+18082170307,2,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
18,aric_arakaki@nps.gov,1,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
19,+19072463305,2,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
20,KATM_Visitor_Information@nps.gov,1,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
21,+19076443661,2,7D6098F9-3F75-4775-A56D-CD9C7F9A9488
22,+19072712744,3,7D6098F9-3F75-4775-A56D-CD9C7F9A9488
23,+18668696887,4,7D6098F9-3F75-4775-A56D-CD9C7F9A9488
24,anch_web_mail@nps.gov,1,7D6098F9-3F75-4775-A56D-CD9C7F9A9488
25,+14155614900,2,C08AD828-98FF-478E-A63C-614E7534274B
26,goga_alca_socialmedia@nps.gov,1,C08AD828-98FF-478E-A63C-614E7534274B
27,+19075819944,2,94B046DC-2AFD-4ECB-A60D-CE210A8550B1
28,anch_web_mail@nps.gov,1,94B046DC-2AFD-4ECB-A60D-CE210A8550B1
29,+18068576680,2,6D82D070-995A-4524-A56E-C1CE182E7D9B
30,lamr_interpretation@nps.gov,1,6D82D070-995A-4524-A56E-C1CE182E7D9B
31,+18148866150,2,3350C18C-8E07-487B-930E-37AD873D31AD
32,alpo_interpretation@nps.gov,1,3350C18C-8E07-487B-930E-37AD873D31AD
33,Amache_visitor_information@nps.gov,1,D35004EF-5F5A-4DA4-8716-5141BE5C933C
34,+16702347207,2,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
35,brooke_nevitt@nps.gov,1,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
36,+18307757491,2,34CB30BA-8A5F-4563-AA34-6633708DD9DC
37,+18307789248,3,34CB30BA-8A5F-4563-AA34-6633708DD9DC
