METADATA_ID,TABLE_NAME,COLUMN_NAME,MEANING
1,metadata,metadata_id,Internally generated id for the primary key value.
2,metadata,table_name,The name of the table.
3,metadata,column_name,The name of the column.
4,metadata,meaning,The meaning of the data in that particular column in the table.
5,stars,star_id,Internally generated id for the primary key value.
6,stars,name,The name of the star.
7,stars,discoverer,The person who discovered the star.
8,stars,dicovery_date,The date when the star has been discovered.
9,stars,mass_kg_10_exp_24,Mass of the body in 10^24 kilograms.
10,stars,gm_10_exp_6_km_exp_3_per_s_exp_2,Gravitational constant times the mass of the body in 10^6 kilometers^3 / seconds^2 (x 10^6 km^3/s^2).
11,stars,volume_10_exp_12_km_exp_3,Volume of the body in 10^12 km^3.
12,stars,mean_volumetric_radius_km,Radius of a sphere with the same volume as the body.
13,stars,mean_density_kg_per_m_exp_3,Average density of the body (mass/volume) in kilograms/(meter^3).
14,stars,gravity_m_per_s_exp_2,"Equatorial gravitational acceleration at the surface of the body or the 1 bar level, not including the effects of rotation, in meters/(second^2)."
15,stars,escape_velocity_km_per_s,Initial velocity required to escape the body's gravitational pull in kilometers/second (at equator).
16,stars,ellipticity,"Flattening - The ratio (equatorial - polar radius)/(equatorial radius), dimensionless."
17,stars,moment_of_inertia_I_per_MR_exp_2,"The moment of inertia of the body expressed as the rotational inertia divided by the body's mass x radius^2, where radius^2 = {2(Requator^2) + Rpolar^2}/3. A hollow spherical shell has a moment of inertia of 2/3, a homogeneous sphere 0.4, dimensionless."
18,stars,vband_magnitude,"V-band magnitude V(1,0) - The magnitude of the body in the V-band (0.549 micrometers) if it were one AU (1.496 x 10^8  kilometers) from the Earth at a phase angle of zero, dimensionless."
19,stars,absolute_magnitude,?
20,stars,luminosity_10_exp_24_j_per_s,Body's luminosity in 10^24 Joule per second.
21,stars,mass_conversion_rate_10_exp_6_kg_per_s,?
22,stars,mean_energy_production_10_exp_minus_3_J_per_kg_s,?
23,stars,surface_emission_10_exp_6_J_per_m_exp_2_s,?
24,stars,spectral_type,?
25,stars,central_pressure_10_exp_11_bar,Pressue at the center of the body in 10^11 bar.
26,stars,central_temperature_10_exp_7_K,Temperature at the center of the body in 10^7 Kelvin.
27,stars,central_density_10_exp_5_kg_per_m_exp_3,Density at the center fo the body in 10^5 kilograms per meters^3.
28,stars,sidereal_rotation_period_hrs,"Time for one rotation of the body on its axis relative to the fixed stars, in earth hours. A minus sign indicates retrograde (backwards relative to the Earth) rotation."
29,stars,obliquity_to_ecliptic_degrees,?
30,stars,speed_relative_to_nearby_stars_km_per_s,Body's speed relative to nearby stars in km/s.
31,stars,north_pole_of_rotation_right_ascension,?
32,stars,north_pole_of_rotation_declination,?
33,stars,north_pole_of_rotation_reference_date,Reference date of rotation measured in UTC. This string contains the ISO 8601 date format followed by the Julian Day number in parenthesis.
34,stars,apparent_diameter_from_earth_at_1_AU_s_of_arc,?
35,stars,max_apparent_diameter_from_earth_s_of_arc,?
36,stars,min_apparent_diameter_from_earth_s_of_arc,?
37,stars,mean_distance_from_earth_10_exp_6_km,Mean distance from earth in 10^6 kilometers.
38,stars,min_distance_from_earth_10_exp_6_km,Minimum distance from earth in 10^6 kilometers.
39,stars,max_distance_from_earth_10_exp_6_km,Maximum distance from earth in 10^6 kilometers.
40,stars,min_magentic_field_strength_polar_field_gauss,Minimum magnetic field strength at the polar field in Gauss.
41,stars,max_magentic_field_strength_polar_field_gauss,Maximum magnetic field strength at the polar field in Gauss.
42,stars,magentic_strength_sunspots_gauss,Magnetic field strength of sunspots in Gauss.
43,stars,min_magentic_strength_prominences_gauss,Minimum magnetic field strength of prominences in Gauss.
44,stars,max_magentic_strength_prominences_gauss,Maximum magnetic field strength of prominences in Gauss.
45,stars,magentic_strength_chromospheric_plages_gauss,Magnetic field strength of chromospheric plages in Gauss.
46,stars,magentic_strength_bright_chromospheric_network_gauss,Magnetic field strength of bright chromospheric network in Gauss.
47,stars,magentic_strength_ephemeral_active_regions_gauss,Magnetic field strength of ephemeral (unipolar) active regions in Gauss.
48,stars,surface_gas_pressure_top_of_photosphere_mb,Atmospheric pressure at the top of the photosphere surface in millibars.
49,stars,surface_gas_pressure_bottom_of_photosphere_mb,Atmospheric pressure at the bottom of photosphere surface in millibars.
50,stars,effective_temperature_K,?
51,stars,temperature_at_top_of_photosphere_K,Temperature at the top of the photosphere in Kelvin.
52,stars,temperature_at_bottom_of_photosphere_K,Temperature at the bottom of the photosphere in Kelvin.
53,stars,temperature_at_top_of_chromosphere_K,Temperature at the top of the chromosphere in Kelvin.
54,stars,photosphere_thickness_km,Photosphere thickness in kilometers.
55,stars,chromosphere_thickness_km,Chromosphere thickness in kilometers.
